Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2024-06-01","France","FRA","250","Europe","150","Western Europe","155","71162000","Articles Of Precious Or Semi Precious Stones(Natural Synthetic/Reconstructed)","Kgs","682.0","0.76","0.09"
"2015-03-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","84714900","Othr Digitl Automatc Dataprocesng Machine Presented In The Form Of System","Nos","0.0","21.89","0.04"
"2024-08-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","39253000","Shutters Blinds(Including Venetian Blinds)And Similar Articles And Parts Thereof","Kgs","42.0","0.0","0.0"
"2017-10-01","Belgium","BEL","56","Europe","150","Western Europe","155","71171990","Other","Kgs","0.02","13.37","0.02"
"2018-01-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","85051190","Others","Kgs","0.07","0.47","0.0"
"2025-07-01","Italy","ITA","380","Europe","150","Southern Europe","39","30049039","Other Antinistaninics ,Antacids,Antiulcer,Antiemitics And Other Gastointestinal Drugs","Kgs","974.0","0.8","0.09"
"2015-12-01","Serbia","SRB","688","Europe","150","Southern Europe","39","42034090","Other","Kgs","0.0","0.03",""
"2021-02-01","Italy","ITA","380","Europe","150","Southern Europe","39","29071930","Thymol","Kgs","0.9","6.16","0.01"
"2015-07-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","94031090","Others","Kgs","0.7","2.41","0.0"
"2016-06-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","90119000","Parts And Accessories Of Hdg 9011","Kgs","0.0","0.21","0.0"
"2016-08-01","Sweden","SWE","752","Europe","150","Northern Europe","154","96020020","Mould/Crvd Artcls Of Wax,Stearn,Ntrl Gums And Resins And Othr Mould/Crvd Artcls","Kgs","6.45","18.25","0.03"
"2019-01-01","Denmark","DNK","208","Europe","150","Northern Europe","154","40169100","Floor Coverings And Mats","Kgs","23.76","27.42","0.04"
"2019-07-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","73121020","Wire Ropes,Galvanised","Kgs","533.39","548.2","0.8"
"2019-02-01","Italy","ITA","380","Europe","150","Southern Europe","39","83021020","Hinges 0F Brass","Kgs","0.57","6.98","0.01"
"2019-11-01","Spain","ESP","724","Europe","150","Southern Europe","39","73069019","Erw Precision Other Tubes Made Up Of Other","Kgs","42.0","36.1","0.05"
"2021-04-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","73262090","Other Articles Of Iron Or Steel Wire For Other Use","Kgs","20.14","46.19","0.06"
"2015-09-01","Estonia","EST","233","Europe","150","Northern Europe","154","82159900","Othr Articles Not In Sets","Kgs","16.47","63.83","0.1"
"2019-09-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","9101290","Other Ginger; Crushed Or Ground","Kgs","19.25","27.2","0.04"
"2024-05-01","Germany","DEU","276","Europe","150","Western Europe","155","42032110","Gloves For Sports","Kgs","1.0","0.0","0.0"
"2019-01-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","90185010","Opthalmoscope","Nos","0.0","80.98","0.11"
"2015-02-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","62160010","Gloves,Mitters And Mitts Of Cotton","Prs","82.08","212.56","0.34"
"2017-12-01","Norway","NOR","578","Europe","150","Northern Europe","154","41079200","Grain-Split Of Other Hides/Skins Includingsides","Kgs","14.85","166.28","0.26"
"2018-02-01","Finland","FIN","246","Europe","150","Northern Europe","154","40169990","Others Articles Of Vulcanised Rubber Excl. Mats/Gaskets And Other Inflatable Articles","Kgs","5.7","20.71","0.03"
"2020-02-01","Belgium","BEL","56","Europe","150","Western Europe","155","71141910","Manufactures Of Gold","Kgs","","1.7","0.0"
"2016-10-01","Poland","POL","616","Europe","150","Eastern Europe","151","21012090","Othr Extrcts Essncsand Cncntrts Of Tea/Mate","Kgs","0.01","0.06",""
"2016-05-01","Sweden","SWE","752","Europe","150","Northern Europe","154","62113200","Othr Grmnts Of Ctn For Mens Or Boys","Nos","1.59","13.4","0.02"
"2024-07-01","Switzerland","CHE","756","Europe","150","Western Europe","155","29142950","7-Acetyl, 1,2,3,4,5,6,7,8-Octahydro, 1,1, 6,7- Tetra Methyl Naphthalene Octahvdronaohthalen-2-Vl ) Ethanone","Kgs","5400.0","0.33","0.04"
"2017-10-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","55121910","Othr Wovn Fbrcs, Dyed Cntng Polyetr >= 85%","Sqm","9.0","9.44","0.01"
"2016-10-01","Finland","FIN","246","Europe","150","Northern Europe","154","94052090","*Others","Nos","0.01","0.13","0.0"
"2015-02-01","Belgium","BEL","056","Europe","150","Western Europe","155","61081990","Slips And Petticoats Of Other Fibres","Nos","3.66","5.91","0.01"
"2020-09-01","Switzerland","CHE","756","Europe","150","Western Europe","155","29420022","Terbutoline Sulphate","Kgs","0.01","3.15","0.0"
"2025-02-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","39011020","Low Density Polyethylene (Ldpe)","Kgs","52000.0","0.45","0.05"
"2024-12-01","Greece","GRC","300","Europe","150","Southern Europe","39","84249000","Parts Of Mechanical Appliances","Kgs","179.0","0.03","0.0"
"2016-05-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","85364900","Other Relays","Nos","0.01","0.61","0.0"
"2020-08-01","Italy","ITA","380","Europe","150","Southern Europe","39","39046990","Other Fluro-Polymers","Kgs","0.7","15.04","0.02"
"2017-03-01","Italy","ITA","380","Europe","150","Southern Europe","39","48115910","Aseptic Packaging Paper","Kgs","3.0","3.93","0.01"
"2021-05-01","Serbia","SRB","688","Europe","150","Southern Europe","39","65050090","Hats And Other Headgears Etc. Excl. Hair-Nets","Kgs","0.05","0.56","0.0"
"2021-10-01","Spain","ESP","724","Europe","150","Southern Europe","39","62082990","Nightdresses And Pyjamas Of Other Fibres","Nos","145.5","569.9","0.76"
"2016-03-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","39206290","Pltes Shts Of Plyethyln Terephthalte Nes","Kgs","7.28","7.01","0.01"
"2018-12-01","Croatia","HRV","191","Europe","150","Southern Europe","39","29171950","Fumbric Acid","Kgs","0.24","61.56","0.09"
"2021-02-01","Denmark","DNK","208","Europe","150","Northern Europe","154","63051090","Sacks And Bags Of Othr Thn Jute Or Of Othr Txtl Bast Fibres Of Hdg No.5303","Kgs","2.6","12.04","0.02"
"2015-01-01","Greece","GRC","300","Europe","150","Southern Europe","39","57031010","Carpets","Sqm","0.1","2.88","0.0"
"2018-08-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","74182020","Parts Of Sanitary Ware","Kgs","0.65","3.21","0.0"
"2017-09-01","France","FRA","250","Europe","150","Western Europe","155","94016900","Othr Seats Wth Wooden Frames","Nos","8.33","168.74","0.26"
"2021-12-01","France","FRA","250","Europe","150","Western Europe","155","91059990","Others","Nos","3.09","69.53","0.09"
"2025-02-01","Spain","ESP","724","Europe","150","Southern Europe","39","15159020","Fxd Veg Oils Viz. Neem Sd, Karnj, Slk Ctn,Khakon,Wat Meln,Ksum,Rubrsd,Dhup,Undi Mrti,Pisa,Nahar","Kgs","3255.0","0.13","0.02"
"2016-12-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","68042110","Diamond Impregnated Wheels","Kgs","0.03","0.47","0.0"
"2019-10-01","Finland","FIN","246","Europe","150","Northern Europe","154","40169340","Gaskets","Kgs","0.15","3.11","0.0"
"2025-07-01","Austria","AUT","40","Europe","150","Western Europe","155","86079920","Parts Of Tramway","Kgs","15305.0","7.92","0.92"
"2015-10-01","Germany","DEU","276","Europe","150","Western Europe","155","87169090","Prts And Acsrs Of Othr Vhcl Nt Mchncly Prpld","Kgs","0.38","2.46","0.0"
"2024-12-01","Austria","AUT","40","Europe","150","Western Europe","155","84099114","Piston Assembles","Kgs","344.0","0.1","0.01"
"2025-06-01","Spain","ESP","724","Europe","150","Southern Europe","39","85354030","Surge Suppressors","Nos","65.0","0.02","0.0"
"2019-01-01","Italy","ITA","380","Europe","150","Southern Europe","39","40111010","Radials Tyres Used On Motor Cars (Incl Station Wagons And Racing Cars)","Nos","5.47","197.98","0.28"
"2016-05-01","Spain","ESP","724","Europe","150","Southern Europe","39","29029020","Diphenyl Methane","Kgs","0.63","2.7","0.0"
"2021-06-01","Ukraine","UKR","804","Europe","150","Eastern Europe","151","29189990","Other","Kgs","0.23","14.96","0.02"
"2018-08-01","Spain","ESP","724","Europe","150","Southern Europe","39","32041369","Other Basic Green (Non-Azo)","Kgs","3.08","6.31","0.01"
"2021-05-01","Spain","ESP","724","Europe","150","Southern Europe","39","8029000","*Other Nuts","Kgs","0.08","0.81","0.0"
"2018-10-01","France","FRA","250","Europe","150","Western Europe","155","69139000","Othr Statuette Etc(Excl Of Porclain/China)","Kgs","5.99","15.11","0.02"
"2018-07-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","30042013","Ciprofloxacine- In Capsul,Tblts Form Etc","Kgs","0.23","15.3","0.02"
"2021-03-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","29214590","Othr 1-Npthylamn 2-Npthylamn And Their Drvtvs And Slts Threof","Kgs","0.2","32.98","0.05"
"2024-11-01","Austria","AUT","40","Europe","150","Western Europe","155","84807900","Othr Moulds For Rubber/Plastics","Kgs","18.0","0.09","0.01"
"2018-08-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","29181590","Other Salts And Esters Of Citric Acid","Kgs","0.2","1.26","0.0"
"2024-06-01","Croatia","HRV","191","Europe","150","Southern Europe","39","84715000","Digitl Procesng Units Excl Of Sub Hdngs 847141 And 847149,Wh/Not Cont One/Two Typs Of Uni,Like Storg/Input/Output Uni","Nos","4.0","0.04","0.01"
"2025-05-01","Spain","ESP","724","Europe","150","Southern Europe","39","29041010","Benzene Sulphonic Acid","Kgs","240.0","0.03","0.0"
"2024-07-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","9042219","Crushed Or Ground; Other Fruits Of Genus Capsicum","Kgs","4000.0","0.1","0.01"
"2017-11-01","Germany","DEU","276","Europe","150","Western Europe","155","92099200","Parts And Accessories For The Musical Instruments Of Headng No.9202","Kgs","0.36","14.72","0.02"
"2021-12-01","Italy","ITA","380","Europe","150","Southern Europe","39","84452014","Cotton Spinning Roving Frames","Nos","0.0","1.49","0.0"
"2017-02-01","Belgium","BEL","56","Europe","150","Western Europe","155","29162000","*Cyclanic,Cyclenic/Cyclotrpnc Monocrboxylc Acids,Their Anhydrds,Halides Peroxides Peroxyacids And Their Derivatatives","Kgs","0.12","28.48","0.04"
"2019-12-01","Poland","POL","616","Europe","150","Eastern Europe","151","28417020","Sodium Molybdate","Kgs","12.0","85.08","0.12"
"2020-09-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","73181500","Othr Screws And Bolts W/N Wth Nuts Or Washers Threaded","Kgs","2.28","31.39","0.04"
"2016-04-01","Finland","FIN","246","Europe","150","Northern Europe","154","85045090","Others","Nos","0.5","0.02",""
"2015-06-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","83091000","Crown Corks","Kgs","0.08","0.47","0.0"
"2015-11-01","Greece","GRC","300","Europe","150","Southern Europe","39","62046200","*Trousers,Bib And Brace Overalls, Breeches And Shorts Of Cotton","Nos","0.2","0.37","0.0"
"2024-10-01","Romania","ROU","642","Europe","150","Eastern Europe","151","54026200","Othr Yarn Of Polystrs,Multpl Or Cabld","Kgs","37094.0","1.93","0.23"
"2021-02-01","Latvia","LVA","428","Europe","150","Northern Europe","154","90330000","Prts And Accessories Fr Machines,Appliances,Instruments/Apparatus Of Chapter 90,Nes","Kgs","0.0","5.61","0.01"
"2015-11-01","Italy","ITA","380","Europe","150","Southern Europe","39","58042990","Mechnclly Made Lace Of Othr Txtl","Kgs","0.13","0.89","0.0"
"2016-01-01","Italy","ITA","380","Europe","150","Southern Europe","39","85044010","Electric Inverters","Nos","0.81","49.06","0.07"
"2016-07-01","Denmark","DNK","208","Europe","150","Northern Europe","154","90158090","Others","Nos","0.0","43.17","0.06"
"2024-08-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","12119022","Senna Leaves And Pads","Kgs","21410.0","0.17","0.02"
"2019-08-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","17023039","Dextrose Other Than Solid","Kgs","0.01","0.02",""
"2017-09-01","Serbia","SRB","688","Europe","150","Southern Europe","39","29397900","Other","Kgs","0.1","5.06","0.01"
"2020-12-01","France","FRA","250","Europe","150","Western Europe","155","63025900","Other Table Linen Of Flax","Kgs","7.8","5.35","0.01"
"2019-09-01","Switzerland","CHE","756","Europe","150","Western Europe","155","84799090","Prts Of Othr Mchnry And Mchncl Applncs,Hvng Indvdl Functns","Kgs","2.76","46.39","0.07"
"2020-02-01","Italy","ITA","380","Europe","150","Southern Europe","39","84099930","Fuel Injectn Eqpmnt Excl Injctn Pumps","Kgs","0.02","0.61","0.0"
"2017-08-01","Ireland","IRL","372","Europe","150","Northern Europe","154","44211000","Cloths Hangers","Kgs","0.2","0.23","0.0"
"2016-12-01","Germany","DEU","276","Europe","150","Western Europe","155","85219090","Othr Video Recrdng/Reprdcng Apprts","Nos","0.01","42.24","0.06"
"2021-01-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","68029300","Other Granite","Kgs","27.6","5.12","0.01"
"2021-11-01","Ukraine","UKR","804","Europe","150","Eastern Europe","151","30029090","Other","Kgs","","0.03",""
"2025-05-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","33012926","Ginger Oil","Kgs","1695.0","0.82","0.1"
"2021-11-01","Germany","DEU","276","Europe","150","Western Europe","155","30049081","Phenobarbitone,Mephobarbitone,Primidone, Phenytoin,Carbamazpin,Ethosucimid, Valporicacid ,Diazepa,Lamotrigin,Gab","Kgs","0.5","46.77","0.06"
"2016-11-01","France","FRA","250","Europe","150","Western Europe","155","82076010","Reamers","Kgs","0.0","0.29","0.0"
