Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2025-07-01","South Sudan","SSD","728","Africa","2","Sub-Saharan Africa","202","44034200","Teak","Cbm","76.0","0.27","0.03"
"2023-07-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","87089400","Sterng Wheels,Sterng Columns And Sterng Boxs","Kgs","0.01","0.15","0.0"
"2020-10-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","80011090","Anodes Cathodes Ingots Pigs Slabs And Other Primary Forms Of Tin","Kgs","24.96","336.87","0.46"
"2023-01-01","Seychelles","SYC","690","Africa","2","Sub-Saharan Africa","202","35069999","Othr Prpd Glues And Othr Adhsvs Nes","Kgs","0.96","193.53","0.24"
"2023-10-01","United Republic of Tanzania","TZA","834","Africa","2","Sub-Saharan Africa","202","71031059","Other","Kgs","0.4","4.69","0.01"
"2021-02-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","26020050","Manganese Ore (<35% But>=30%)","Kgs","11902.0","986.68","1.36"
"2020-10-01","Reunion","REU","638","Africa","2","Sub-Saharan Africa","202","72042190","Othr Wst And Scrp Of Stainless Steel","Kgs","38.0","11.41","0.02"
"2018-06-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","84799090","Prts Of Othr Mchnry And Mchncl Applncs,Hvng Indvdl Functns","Kgs","0.01","0.48","0.0"
"2018-06-01","Madagascar","MDG","450","Africa","2","Sub-Saharan Africa","202","71031019","*Othr Prcs Stone(E.G.Aquamarine Chrisobaryle-Topaz Etc) Uncut","Kgs","0.09","2.05","0.0"
"2017-11-01","South Africa","ZAF","710","Africa","2","Sub-Saharan Africa","202","78020010","Lead Scrap Covered By Isri Code Racks, Radio,Relay,Ropes,Roses","Kgs","193.34","280.24","0.43"
"2019-07-01","Cameroon","CMR","120","Africa","2","Sub-Saharan Africa","202","44072990","*Other Tropical Woods Sawn And Chipped","Cbm","0.16","68.73","0.1"
